"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",4547103,923183,4500328,909472,0.203026630362233,0.202090158761761,0.202558394561997
"R",18631662,3846614,18354548,3789483,0.20645576331301,0.206460164532518,0.206457963922764
"T",23178765,4769798,22854876,4698955,0.205783095000963,0.205599671597431,0.205691383299197
