"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",130101,369,130537,0,0.00283625798418152,0,0.00141812899209076
"R",418322,1881,409207,0,0.00449653616113903,0,0.00224826808056951
"T",548423,2250,539744,0,0.00410267257208396,0,0.00205133628604198
