"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",371190,37478,361449,36440,0.100967159675638,0.100816436067052,0.100891797871345
"R",1347216,157159,1309826,152808,0.116654641868861,0.11666282391707,0.116658732892966
"T",1718406,194637,1671275,189247,0.113266015132629,0.113235104934855,0.113250560033742
