"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",302335,21548,301885,17281,0.071271933451304,0.057243652384186,0.064257792917745
"R",1076907,108018,1079919,86627,0.100303925965752,0.0802162014002902,0.0902600636830211
"T",1379242,129566,1381804,103908,0.0939400047272342,0.075197350709652,0.0845686777184431
