"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",4497355,913104,4455068,900039,0.203031337308262,0.202025872556827,0.202528604932545
"R",18582442,3841011,18317860,3786052,0.206701089124885,0.206686370569488,0.206693729847186
"T",23079797,4754114,22772928,4686091,0.205985953862592,0.205774637323756,0.205880295593174
