"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",5689489,1072515,5600335,1058997,0.188508141943855,0.189095295192163,0.188801718568009
"R",22385713,4511580,22085133,4454719,0.201538365117073,0.201706686575082,0.201622525846077
"T",28075202,5584095,27685468,5513716,0.198897767503151,0.199155600331553,0.199026683917352
