"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",416123,46202,388749,30284,0.111029671515393,0.077901165019074,0.0944654182672336
"R",1565924,165407,1438094,108419,0.105629008815243,0.075390760270191,0.0905098845427168
"T",1982047,211609,1826843,138703,0.106762856783921,0.0759249700165805,0.0913439134002507
