"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",14293776,4135857,14871856,4279611,0.289346705866945,0.287765763735206,0.288556234801075
"R",52877888,14806630,54542968,15321274,0.280015533146861,0.280902828756954,0.280459180951907
"T",67171664,18942487,69414824,19600885,0.282001157511894,0.282373185877414,0.282187171694654
