"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",336835,10655,354560,19384,0.031632698502234,0.0546705776173285,0.0431516380597813
"R",1176189,38147,1268941,69396,0.0324327127698015,0.0546881218275712,0.0435604172986863
"T",1513024,48803,1623501,88780,0.0322552715621167,0.0546842903084137,0.0434697809352652
