"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",19680248,4158093,19215912,4147413,0.211282550910944,0.215832222795358,0.213557386853151
"R",68503328,14886233,68159632,14847997,0.217306712456364,0.217841507712366,0.217574110084365
"T",88183576,19044325,87375544,18995410,0.215962267168662,0.217399619280196,0.216680943224429
