"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",18652152,3745769,17768536,3577405,0.200822350150267,0.201333694571123,0.201078022360695
"R",66154632,13410087,63220280,12807336,0.202708209456898,0.20258271554634,0.202645462501619
"T",84806784,17155855,80988816,16384741,0.202293427374867,0.202308686671009,0.202301057022938
