"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",150562,28466,143367,28254,0.189064969912727,0.197074640607671,0.193069805260199
"R",602149,130660,572184,129686,0.216989482669572,0.226650867553095,0.221820175111333
"T",752711,159126,715551,157940,0.211403845566227,0.220725007721322,0.216064426643775
