"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",2604096,649571,2162400,548436,0.249442032859004,0.253623751387347,0.251532892123176
"R",12002272,2981523,10195533,2517314,0.248413217097563,0.246903619457659,0.247658418277611
"T",14606368,3631094,12357933,3065750,0.248596639493131,0.248079512973569,0.24833807623335
