"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",30593760,6392717,20646702,4633871,0.208954930678674,0.224436377296481,0.216695653987577
"R",98345208,21741119,71605151,15759424,0.221069429229333,0.22008785373555,0.220578641482442
"T",128938968,28133836,92251853,20393295,0.218194983536707,0.221061088062914,0.219628035799811
