"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",96275,18293,101080,19461,0.190007790184368,0.192530668777206,0.191269229480787
"R",364315,73452,393429,78142,0.201616732772463,0.198617793807777,0.20011726329012
"T",460590,91745,494509,97603,0.199190169130897,0.197373556396345,0.198281862763621
