"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",130949,40020,122616,36241,0.305615163155121,0.295565015984863,0.300590089569992
"R",492670,136106,461791,123252,0.276262000933688,0.266899961237876,0.271580981085782
"T",623619,176126,584407,159493,0.282425647711183,0.272914253251587,0.277669950481385
