"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",54137,10314,64024,13818,0.190516652197203,0.215825315506685,0.203170983851944
"R",215962,41225,259750,55232,0.190890063992739,0.212635226179018,0.201762645085879
"T",270099,51538,323774,69050,0.190811517258487,0.213266043598312,0.2020387804284
