"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",359099,89262,531869,119413,0.248572120780063,0.224515811224192,0.236543966002128
"R",1308379,442550,1801841,592032,0.33824297088229,0.328570611946337,0.333406791414314
"T",1667478,531812,2333710,711445,0.318931943929695,0.304855787565722,0.311893865747708
