"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",224308,28018,233761,29998,0.124908607807122,0.128327650891295,0.126618129349209
"R",820407,138908,849539,148728,0.169315961467906,0.175069066870385,0.172192514169145
"T",1044715,166925,1083300,178726,0.159780418583059,0.164982922551463,0.162381670567261
