"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",68617,9339,79397,12274,0.136103298016527,0.154590223811983,0.145346760914255
"R",274472,33200,310207,43634,0.120959514996065,0.140660913519037,0.130810214257551
"T",343089,42539,389604,55908,0.123988236288543,0.143499553392676,0.133743894840609
