"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",58559,7136,65861,9029,0.121860004439967,0.137091753845219,0.129475879142593
"R",227820,25369,257858,32097,0.111355456061803,0.124475486508078,0.117915471284941
"T",286379,32505,323719,41126,0.113503434260194,0.127042280496356,0.120272857378275
