"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",2312128,435804,2087478,375092,0.188486104575525,0.179686684123138,0.184086394349332
"R",10313605,2682620,9305040,2308905,0.260104977842374,0.248134881741508,0.254119929791941
"T",12625733,3118424,11392518,2683997,0.246989541122088,0.235592956710711,0.2412912489164
