"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",254899,56932,182081,40019,0.22335120969482,0.219786798183226,0.221569003939023
"R",1120266,257137,792657,180749,0.229532093270705,0.228029273695937,0.228780683483321
"T",1375165,314069,974738,220768,0.228386411812401,0.226489579763998,0.227437995788199
