"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",18609,3699,19912,3902,0.19877478639368,0.195962233828847,0.197368510111264
"R",72193,14768,76058,15576,0.204562769243555,0.204791080491204,0.20467692486738
"T",90802,18467,95970,19478,0.203376577608423,0.20295925810149,0.203167917854956
