"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",49511,12293,46455,11855,0.248288259174729,0.255193197718222,0.251740728446475
"R",196360,40766,175742,39313,0.207608474231004,0.223697237996609,0.215652856113806
"T",245871,53059,222197,51168,0.215800155366025,0.230282137022552,0.223041146194289
