"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",2956899,608245,3034421,616204,0.205703678076255,0.203071360236434,0.204387519156344
"R",9728916,2055663,9900195,2082562,0.211294146233763,0.210355654610844,0.210824900422303
"T",12685815,2663908,12934616,2698766,0.209991080588831,0.208646781628461,0.209318931108646
