"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",20535,5256,23571,5483,0.255953250547845,0.232616350600314,0.24428480057408
"R",83919,17082,92945,17821,0.203553426518428,0.191737048792297,0.197645237655363
"T",104454,22337,116516,23304,0.213845329044364,0.200006866009818,0.206926097527091
