"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",833875,211202,969794,242468,0.253277769449858,0.250020107363007,0.251648938406432
"R",3520598,975578,4024941,1119997,0.277105764418431,0.27826420312745,0.27768498377294
"T",4354473,1186780,4994735,1362465,0.272542739385455,0.272780237590182,0.272661488487819
