"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1760576,426448,1517805,389136,0.242220727761823,0.256380760374356,0.24930074406809
"R",9876651,1969830,9001411,1797480,0.199443110827749,0.199688693250425,0.199565902039087
"T",11637227,2396278,10519216,2186616,0.205914862707413,0.207868723296489,0.206891793001951
