"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",69502,13959,96573,20580,0.20084314120457,0.213103041222702,0.206973091213636
"R",295303,60947,422082,89857,0.206388015021859,0.212889912386693,0.209638963704276
"T",364805,74906,518655,110437,0.205331615520621,0.212929596745428,0.209130606133024
