"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",6497279,472362,6184404,442983,0.0727015108940219,0.0716290526944876,0.0721652817942548
"R",24701265,5804691,23317612,5443662,0.234995697588767,0.233457096721568,0.234226397155168
"T",31198544,6277053,29502016,5886646,0.201196985346496,0.199533686104706,0.200365335725601
