"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1106936,64610,1179759,72569,0.0583683248173336,0.061511715528341,0.0599400201728373
"R",4368130,772694,4672000,867876,0.176893544834975,0.185761130136986,0.181327337485981
"T",5475066,837304,5851759,940444,0.152930393898448,0.160711334831117,0.156820864364782
