"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",3192777,209916,3405517,221936,0.065747153653387,0.0651695469439736,0.0654583502986803
"R",12317776,2579583,13055243,2727291,0.209419541319797,0.208903886354318,0.209161713837057
"T",15510553,2789499,16460760,2949227,0.179845231823778,0.17916712229569,0.179506177059734
