"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",267006,11634,271394,11506,0.0435720545605717,0.0423959262179709,0.0429839903892713
"R",1092444,136770,1091245,135260,0.125196348737327,0.123950167011075,0.124573257874201
"T",1359450,148404,1362639,146765,0.109164735738718,0.107706443159193,0.108435589448956
