"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1609960,109157,1681974,112635,0.0678010633804567,0.0669659578566613,0.067383510618559
"R",6400942,1341397,6688297,1384134,0.20956243627891,0.206948644774597,0.208255540526753
"T",8010902,1450555,8370271,1496770,0.181072618289426,0.178819777758689,0.179946198024058
