"","H2O.A","D2O.A","H2O.B","D2O.B","A","B"
"Ileum_CD14_1.csv",-1.47335628710297,-1.44309998132192,-1.35400222648886,-1.34460329791265,1,1
"Ileum_CD14_2.csv",-0.215045857248228,-0.210984628756026,0.0982077778449666,0.0595731098638202,0.997362524132259,0.993270860096188
"Ileum_CD14_3.csv",1.14116277461791,1.13321909771846,0.030792983335148,-0.0274125580161488,0.977034035016313,0.994586350574241
"Ileum_CD14_4.csv",1.06831572327411,1.13573674968501,0.70392511176793,0.697571508739442,0.976995960385517,0.983622364669419
"Ileum_CD14_5.csv",7.99898464015678,34.3012076638938,7.8468101100859,35.1646909068597,0.478572296142171,0.468811030194457
"Ileum_CD14_6.csv",9.50480280653243,14.0485718012077,9.95188764045712,15.0841504309408,0.781714232154216,0.766053102454443
"Ileum_CD14_7.csv",9.03538533692409,24.0825534187851,8.46999278678364,30.228130190255,0.629969610349375,0.53702961319753
"Ileum_CD14_8.csv",10.7070260641345,51.5208608812866,10.5911629070421,53.7086684309048,0.23233434467234,0.197886581966598
"Ileum_CD14_9.csv",10.7527194159741,29.499434106002,10.8733650113315,32.0226214766853,0.548049736208511,0.512851084893613
"Ileum_CD14_10.csv",10.9800682207861,39.932430050026,11.2408666795508,34.0707388167332,0.400926282567427,0.486720621438268
"Ileum_CD14_11.csv",10.9388484794025,52.1670322278835,11.0485329510724,53.7310843048781,0.224614379681225,0.204969747074716
"Ileum_CD14_12.csv",11.4985016548493,16.1203549194417,11.5932899430181,16.6703073659982,0.750382507847752,0.74206553765646
"Ileum_CD14_13.csv",10.7950350261329,55.7947980826248,10.8441695336558,60.7742531127207,0.174540853152592,0.0972574913104885
"Ileum_CD14_14.csv",11.0412557108531,57.4481189177287,10.9178803577537,61.7137651535151,0.159047846954932,0.0833559856208631
"Ileum_CD14_15.csv",10.5646989696059,51.0785960610533,10.6579233933531,52.4620130931912,0.232831435383429,0.216409072186856
"Ileum_CD14_17.csv",10.8931527337444,65.2517054267164,10.4952677128659,68.8014535483286,0.0433951857914871,0
"Ileum_CD14_18.csv",10.8322149788716,57.2674780985842,10.8573792662619,59.7669389405572,0.161692434218871,0.11597272509477
"Ileum_CD14_19.csv",10.9936259148791,36.9116299161771,11.0590198207352,41.9235511753676,0.447452738871643,0.376182219102103
"Ileum_CD14_20.csv",10.5831757980928,35.1771182914121,10.8276295528395,31.7798066657976,0.46862504910004,0.519467262241778
"Ileum_CD14_21.csv",11.0673062767257,24.6375547746521,11.0266826446753,26.8172114720238,0.621576285141397,0.59116067481219
"Ileum_CD14_22.csv",10.7508769658525,55.6783978117671,10.7916168678976,57.2510141985269,0.176257143237307,0.151284666835132
"Ileum_CD14_23.csv",57.9153119541116,62.6844777628751,10.9887199657213,61.8584092678094,0.0795699325679436,0.0957847538490307
"Ileum_CD14_24.csv",10.8754863629102,62.5305521823837,10.8106751029244,60.7085996968402,0.0712703826312229,0.109964497747106
"Ileum_CD14_25.csv",11.1335025663233,37.7480715833535,11.2809517674337,35.6879792765647,0.436529204091228,0.46563343109633
"Ileum_CD14_26.csv",10.853336502675,33.0232503574124,11.0239413016471,35.1967143376193,0.503816080527069,0.472932521512018
"Ileum_CD14_27.csv",10.8834656074448,58.6048831410557,10.830822560043,57.4108266441248,0.139406873043786,0.156920546375325
"Ileum_CD14_28.csv",10.9433567619619,65.6574934658426,10.6908230589055,67.0007020593874,0.0374492465660771,0.0191977298341671
"Ileum_CD14_29.csv",10.6395440624322,51.6151486077469,10.8907823110864,52.6672690919111,0.239193970380001,0.22514333093435
"Ileum_CD14_30.csv",10.9760374871812,28.8512063311016,10.8989470107915,28.4574066565436,0.563295011601288,0.571809497516921
"Ileum_CD14_31.csv",10.9140109961728,24.0209718759302,11.0653120184536,25.4105834975221,0.630900912427337,0.615997328875194
"Ileum_CD14_32.csv",11.1646954792114,31.1586567166557,11.1128136950775,29.2575704025793,0.530191479847575,0.564732326093935
"Ileum_CD14_33.csv",11.7178690186836,15.8667141617798,11.8426111525768,16.7708267126513,0.754218335170604,0.740545376386159
"Ileum_CD14_34.csv",11.0548898455047,23.1588108841899,11.0526196493772,23.0268214294006,0.647342551716687,0.645935520748871
"Ileum_CD14_35.csv",10.8589770809986,34.9609427110678,11.0793688301324,36.7620738010658,0.477851072592049,0.449674805866206
"Ileum_CD14_36.csv",10.7454485733186,52.3547026023196,10.650187657272,48.9386131517493,0.233615621732875,0.282427995763679
"Ileum_CD14_37.csv",11.3454158476718,42.8255553307426,11.4111374887594,43.4731163795201,0.368418517335145,0.356220672093049
"Ileum_CD14_40.csv",11.1155964111639,67.7664811508915,11.0210627024356,67.9354243151705,0.0093555411340121,0.00551336666159377
