"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",135726,1758,118498,0,0.0129525661995491,0,0.00647628309977455
"R",545650,20564,489739,0,0.0376871621002474,0,0.0188435810501237
"T",681376,22322,608237,0,0.0327601794016813,0,0.0163800897008407
