"","H2O.A","D2O.A","H2O.B","D2O.B","A","B"
"Peritoneal_Wash_CD21_1.csv",-2.02510340419134,-2.09539701586585,-1.25620897086646,-1.20490676931415,1,0.998806001277517
"Peritoneal_Wash_CD21_2.csv",-1.10982618517286,-1.12278961130728,-0.888456484083072,-0.84388862777429,0.996818953104262,0.990070184597174
"Peritoneal_Wash_CD21_3.csv",-0.62941206152856,-0.67107334947088,-0.401700060693991,-0.295445454934661,0.985888448509392,0.976799109085353
"Peritoneal_Wash_CD21_4.csv",-0.369386054309164,-0.383420623281711,-0.121293804306093,-0.198436731247547,0.978927907765176,0.974451718943378
"Peritoneal_Wash_CD21_5.csv",1.99132192269568,35.402432390544,2.63568446640609,34.6973610970128,0.101430922974455,0.126949328665136
"Peritoneal_Wash_CD21_6.csv",3.14008183427929,42.2214074090195,2.70170938408955,41.860419889346,0,0
"Peritoneal_Wash_CD21_7.csv",2.28597459237159,38.5198499308062,2.36090330355042,38.8029037359976,0.0414343072602797,0.0469119092060872
"Peritoneal_Wash_CD21_9.csv",2.05716212046553,37.4355869458659,2.11581979252303,37.31232615414,0.0955631745156932,0.0985733886291505
"Peritoneal_Wash_CD21_10.csv",2.19313744753259,35.5433508328478,2.21147810606349,35.9518274201094,0.141774429316549,0.13179881605969
"Peritoneal_Wash_CD21_11.csv",2.48104876307453,35.7079705546001,2.4592193739591,36.0995973167046,0.139227184335113,0.129671658271248
"Peritoneal_Wash_CD21_12.csv",2.34034961170337,41.3847407155402,2.94818237064516,42.9751513324751,0.00208779663529023,0
"Peritoneal_Wash_CD21_13.csv",2.38603812586895,38.4234210151402,2.36333268147471,37.8439977635337,0.0716174167652133,0.0866466222017841
"Peritoneal_Wash_CD21_14.csv",2.71587232141955,39.9087881473373,1.96390447879966,39.3873311848545,0.0347495887292316,0.0478986416841382
"Peritoneal_Wash_CD21_18.csv",2.83169004627917,43.0868935515312,2.43056434601845,42.1429546656309,0,0
"Peritoneal_Wash_CD21_19.csv",2.62084359529229,43.4741876822097,3.02663182052078,43.5382439559356,0,0
"Peritoneal_Wash_CD21_20.csv",1.37320987979561,1.295181291434,1.34827335029547,1.32378051705705,0.978166293023706,0.977467856875446
"Peritoneal_Wash_CD21_21.csv",0.844544035910442,0.768908061233046,0.896720096544386,0.928330361548676,0.991018677653918,0.9871253450565
"Peritoneal_Wash_CD21_22.csv",0.583633088876243,0.569414639682421,0.628776460711394,0.695712482848939,0.995890607362344,0.99280622388017
"Peritoneal_Wash_CD21_23.csv",0.568257889793516,0.553300065316793,0.55797222322449,0.680730764075442,0.996284149530203,0.993172100008859
