"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",3438369,745530,3561064,768404,0.216826640770668,0.215779328874741,0.216302984822704
"R",14562034,3136107,15016965,3232325,0.215361878704582,0.215244891361204,0.215303385032893
"T",18000403,3881637,18578029,4000729,0.215641672022565,0.215347333132056,0.215494502577311
