"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1207186,242116,1292720,254969,0.200562299430245,0.197234513274336,0.198898406352291
"R",5765114,1234355,6031641,1299880,0.214107648174867,0.215510173765315,0.214808910970091
"T",6972300,1476471,7324361,1554848,0.211762402650488,0.212284457306241,0.212023429978365
