"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",155668,31912,153030,30453,0.205000385435671,0.199000196039992,0.202000290737831
"R",602755,143957,595766,137373,0.238831697787658,0.230582141310515,0.234706919549086
"T",758423,175869,748796,167826,0.231887746020361,0.224127799827991,0.228007772924176
