"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",93647,19838,92170,20408,0.211838072762609,0.221416946945861,0.216627509854235
"R",359464,79979,368180,82277,0.22249515945964,0.223469498614808,0.222982329037224
"T",453111,99817,460350,102685,0.22029259938514,0.223058542413381,0.22167557089926
