"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",43229,7512,42009,8338,0.173772236230308,0.198481277821419,0.186126757025864
"R",161693,32711,168254,36311,0.202303130005628,0.215810619658374,0.209056874832001
"T",204922,40223,210263,44649,0.196284439933243,0.212348344692124,0.204316392312683
