"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",72122,14246,75734,14515,0.197526413576995,0.191657643858769,0.194592028717882
"R",263020,57872,267910,58963,0.220028895141054,0.220085103206301,0.220056999173677
"T",335142,72118,343644,73478,0.21518639860119,0.213820116166731,0.21450325738396
