"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",34030,6417,35961,6220,0.188568909785483,0.172965156697533,0.180767033241508
"R",119921,24407,126133,23658,0.20352565438914,0.187563920623469,0.195544787506304
"T",153951,30824,162094,29878,0.200219550376418,0.184325144669143,0.192272347522781
