"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",172289,68710,279016,112851,0.398806656257799,0.40446067609026,0.40163366617403
"R",683462,233677,1099763,383796,0.341901963825348,0.348980644011482,0.345441303918415
"T",855751,302387,1378779,496647,0.353358628853487,0.360207836063648,0.356783232458567
