"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",2307136,558335,2505314,598408,0.242003505645094,0.238855488773064,0.240429497209079
"R",9213748,2285210,9894547,2449224,0.248021760525684,0.247532706651452,0.247777233588568
"T",11520884,2843545,12399861,3047632,0.246816563728964,0.245779529302788,0.246298046515876
