"","H2O.A","D2O.A","H2O.B","D2O.B","A","B"
"Lung_CD11b_14_1.csv",1.4680382708923,1.52429721513303,-0.0526899772745414,0.0327639387991651,0.977368836190466,1
"Lung_CD11b_14_2.csv",1.44918225184905,1.44558149459558,1.44957815762534,1.4562821420392,0.97915065740656,0.978908435897174
"Lung_CD11b_14_3.csv",1.43297626638028,1.36335676807457,0.532460479235613,0.518030985053616,0.981011909024437,1
"Lung_CD11b_14_4.csv",0.527841369559702,0.549105662197651,-0.0495184614968574,-0.00183001566112122,0.999443422904678,1
"Lung_CD11b_14_5.csv",2.02589423875501,1.8799564821162,1.74468073336551,1.45808098354721,0.969318078053667,0.978867717042777
"Lung_CD11b_14_6.csv",-0.802997510799296,26.1460820527193,-1.32575455996691,23.7890550957381,0.420026309155703,0.473380335647218
"Lung_CD11b_14_7.csv",-1.03985464904519,16.2826351553589,-1.33411062309516,14.630919505876,0.643296817581888,0.680685308306588
"Lung_CD11b_14_8.csv",-0.694476916056618,18.7186595614667,-1.06623843034618,16.8304926559515,0.588154592622393,0.630895430523664
"Lung_CD11b_14_9.csv",-1.2149473646531,23.4498394176827,-1.34268920043656,26.304412565475,0.481058874163588,0.416442315197992
"Lung_CD11b_14_10.csv",-0.970755807650251,15.8662178126784,-0.901618404187727,15.8855191035471,0.652722904910714,0.652285997907475
"Lung_CD11b_14_11.csv",-0.335435602915884,10.9504662012124,-0.637706645400308,8.84192419547768,0.763996618148079,0.811725900878273
"Lung_CD11b_14_12.csv",-0.713285798906434,23.6581890290909,-0.882730856309787,22.508522905796,0.476342640158013,0.502366660213022
"Lung_CD11b_14_13.csv",-3.64197352315229,39.4885937939715,-2.64227266140348,38.8116010882922,0.118003151211903,0.133327662731128
"Lung_CD11b_14_14.csv",-1.22780528417881,16.012391614093,-0.872920450325095,17.2918713455033,0.649414092149816,0.620451591198001
"Lung_CD11b_14_15.csv",-1.03073443396976,29.9971528198569,-1.21070422366996,30.0729484836787,0.321904853048978,0.319915403647102
"Lung_CD11b_14_16.csv",-0.948035939391452,25.7373041229563,-0.790372595514764,25.6177031851254,0.429279469553008,0.416966175241154
"Lung_CD11b_14_17.csv",-0.456160514179627,24.8699660837622,-0.765174200575767,24.9778825318666,0.433699678840457,0.430945663709769
"Lung_CD11b_14_18.csv",-0.690819436698939,26.4839918595876,-1.13395426411986,24.0366717725716,0.398402470637594,0.451923032665964
"Lung_CD11b_14_19.csv",-0.513419712361116,24.0267998502247,-0.77183831477824,22.5687428919198,0.451358865469062,0.501003511299748
"Lung_CD11b_14_20.csv",-0.947898375391614,24.4890757303891,-0.983530033596552,23.9713603330906,0.442029388506089,0.45256918324562
"Lung_CD11b_14_21.csv",-0.402469272213443,3.66662892259916,-0.501628819871539,3.77338115126841,0.928874684549471,0.926458224602088
"Lung_CD11b_14_22.csv",-0.654929476010322,16.5649838542922,-0.395035771719092,17.491307181888,0.614260149826127,0.59452039866305
"Lung_CD11b_14_23.csv",-0.282255198561426,3.88274222206272,-0.22145661406842,3.40469797842442,0.923982710501149,0.934803793884879
"Lung_CD11b_14_24.csv",-1.06974808286492,11.728887761868,-0.762974006284133,12.4099589040671,0.746376147391148,0.730959315752517
"Lung_CD11b_14_25.csv",-0.209735207032713,2.84782761676148,-0.370438018162501,3.54333554147424,0.947409197459286,0.93166557258038
"Lung_CD11b_14_26.csv",-1.19142972868363,33.6525204215801,-1.92020243622529,31.9890765631804,0.241882941938885,0.278298419416648
"Lung_CD11b_14_27.csv",-0.569107833912444,13.1022118269784,-0.588834034685052,12.4976187371513,0.715289371597468,0.728975034222445
"Lung_CD11b_14_28.csv",-0.392159178279234,14.2118289798906,-0.403507929493765,14.9699586358444,0.690171906225862,0.673010766160001
"Lung_CD11b_14_29.csv",-0.436412465654276,29.5647924013738,-1.14012875099743,29.0514670331157,0.331028293729352,0.35425956569399
"Lung_CD11b_14_30.csv",0.0185627536080484,4.30228373544381,-0.333281943818713,3.59079920540096,0.914485903961484,0.930591177747928
"Lung_CD11b_14_31.csv",0.144830739833483,2.29841317488809,0.207230387544327,2.16615296430388,0.959845827680978,0.962839690249406
"Lung_CD11b_14_32.csv",-0.118096718799893,1.81247739879793,-0.0238763269345092,1.27902126869062,0.970845545012974,0.982920940423072
"Lung_CD11b_14_33.csv",-0.672943215292655,18.4059258698111,-0.796274608325343,17.6123351867365,0.59523368080166,0.590965759607129
"Lung_CD11b_14_34.csv",-0.384478211979789,14.5087739850807,-0.106524292046064,14.5859788309541,0.683450213193668,0.658600696317905
"Lung_CD11b_14_35.csv",-0.367825458978935,15.7851021946892,-0.519576646469813,15.7401849570278,0.630827706495304,0.65557580411039
"Lung_CD11b_14_36.csv",0.00635902676759298,22.4002339405053,-0.75268322432939,19.8210002908862,0.504817905968079,0.543618762733084
"Lung_CD11b_14_37.csv",-0.0919537822054585,16.8653375741103,-0.898076342602518,16.9845153208468,0.608753289088576,0.627408949675925
"Lung_CD11b_14_38.csv",-0.840870031376258,28.6538951386915,-0.962075077581916,27.4980704892207,0.350628194140987,0.376613808729578
"Lung_CD11b_14_39.csv",-0.114261531087013,20.3310614622984,-0.509891934225815,19.4616689760628,0.53296120479398,0.551973991365475
"Lung_CD11b_14_40.csv",-0.718590691566228,31.7478353312792,-0.766090036484294,30.298794250298,0.293224156156143,0.315301434087094
"Lung_CD11b_14_41.csv",-0.441589520360962,-0.647775622217007,-0.628115982044084,-0.701283996556879,0.987100017832495,0.988264710369452
