"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",468081,169594,464349,169611,0.362317633059235,0.365266211405645,0.36379192223244
"R",1762701,576774,1764396,576835,0.327210343671445,0.326930575675755,0.3270704596736
"T",2230782,746368,2228745,746446,0.334576843456689,0.334917633017685,0.334747238237187
