"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",104499,20499,99949,20178,0.196164556598628,0.201882960309758,0.199023758454193
"R",392885,81935,366550,80654,0.208547030301488,0.220035465830037,0.214291248065762
"T",497384,102433,466499,100832,0.205943496373024,0.216146229681093,0.211044863027058
