"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",75422,30321,86001,34266,0.402017978839066,0.398437227474099,0.400227603156582
"R",301970,103118,334670,116536,0.341484253402656,0.348211671198494,0.344847962300575
"T",377392,133439,420671,150802,0.353581951922669,0.358479667008185,0.356030809465427
