"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",141508,35411,147543,38911,0.250240269101394,0.263726506848851,0.256983387975122
"R",560785,162538,605422,178600,0.289840134811024,0.295000842387624,0.292420488599324
"T",702293,197949,752965,217511,0.281860989643924,0.288872656763595,0.285366823203759
