"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1327242,216859,1024669,164209,0.163390700414845,0.160255653289013,0.161823176851929
"R",4332779,995380,3298037,753719,0.22973246500687,0.228535641049509,0.229134053028189
"T",5660021,1212239,4322706,917928,0.214175707121935,0.212350319452676,0.213263013287305
