"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",511002,54405,500339,50125,0.106467293670083,0.100182076552098,0.103324685111091
"R",1822582,228141,1787912,210194,0.125174614914446,0.117563951693372,0.121369283303909
"T",2333584,282545,2288251,260319,0.121077707080611,0.113763306560338,0.117420506820474
