"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1096001,241826,1228904,264917,0.220643959266461,0.21557176150456,0.21810786038551
"R",5097070,1232874,5574599,1350597,0.241878961834937,0.24227697812883,0.242077969981883
"T",6193071,1474699,6803503,1615513,0.23812079661286,0.237453117901175,0.237786957257018
