"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",179774,7210,169320,9483,0.0401059107546141,0.0560063784549965,0.0480561446048053
"R",628425,30328,631791,39889,0.0482603333731153,0.0631363852919715,0.0556983593325434
"T",808199,37537,801111,49371,0.0464452443024552,0.0616281638874014,0.0540367040949283
