"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",431576,39040,478154,55969,0.0904591543552005,0.117052246765686,0.103755700560443
"R",1940245,196054,2122035,281074,0.101046001922438,0.132454931233462,0.11675046657795
"T",2371821,235094,2600189,337043,0.0991196215903308,0.129622500518232,0.114371061054281
