"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",1590169,387204,1554374,372677,0.243498646999155,0.239760186415882,0.241629416707519
"R",6938168,1956718,6688825,1883305,0.282022285998264,0.281559915231749,0.281791100615006
"T",8528337,2343922,8243199,2255981,0.274839279920575,0.273677852493917,0.274258566207246
