"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",841800,179059,887746,187935,0.212709669755286,0.211699067075492,0.212204368415389
"R",2684353,585598,2793589,614626,0.218152381598098,0.220013036992915,0.219082709295507
"T",3526153,764657,3681335,802561,0.216853040693356,0.21800814106839,0.217430590880873
