"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",34593,6797,39477,7410,0.196484837973,0.187704232844441,0.192094535408721
"R",112279,20666,131370,22529,0.184059352149556,0.171492730455964,0.17777604130276
"T",146872,27463,170847,29939,0.186985946947001,0.175238663833723,0.181112305390362
