"","H2O.A","D2O.A","H2O.B","D2O.B","A","B"
"Blood_CD11b_14_Batch_1_1.csv",0.625283733296286,0.572009273330931,-0.909721935048524,-0.0202457705365417,0.9911811132429,0.995509172134414
"Blood_CD11b_14_Batch_1_2.csv",1.38177703143969,1.15755105149525,0.665684599208054,1.02221284510563,0.986902113299246,0.987891132698222
"Blood_CD11b_14_Batch_1_3.csv",-0.904793886713076,-1.0686959876806,-0.585040490877097,-0.69245105251787,1,1
"Blood_CD11b_14_Batch_1_4.csv",2.23361504482079,133.88383447889,-0.280864894711426,112.863739202362,0.0169700256390857,0.170579878698301
"Blood_CD11b_14_Batch_1_5.csv",0.108097093354609,128.432350812931,0.447461799261087,125.815888066196,0.0568081707029516,0.0759286576833219
"Blood_CD11b_14_Batch_1_6.csv",-1.14122171203672,126.945645511585,-1.24694504331333,127.089247521447,0.0676726591782807,0.0666232498704899
"Blood_CD11b_14_Batch_1_7.csv",0.518181049303063,127.559464961302,-0.920705110157153,117.392186515158,0.0631870127415987,0.137487063601419
"Blood_CD11b_14_Batch_1_8.csv",-1.11800159598519,128.9057428729,-0.872084596332858,127.512305662695,0.0533487342058974,0.0635316416709211
"Blood_CD11b_14_Batch_1_9.csv",-0.964450309346097,108.959419226461,-1.1531820694694,117.158125339481,0.199111719772499,0.139197526961822
"Blood_CD11b_14_Batch_1_10.csv",0.766946477715358,137.720832001696,-0.535299320077904,133.6006693569,0,0.0190393289513757
"Blood_CD11b_14_Batch_1_11.csv",-3.28800704595078,107.672422579847,-3.60775726106162,111.945755862895,0.208516784933876,0.177288282443923
"Blood_CD11b_14_Batch_1_12.csv",-1.53237858823665,127.057296146613,-0.904017260735519,130.495136329649,0.0668567429126766,0.0417338251328076
"Blood_CD11b_14_Batch_1_13.csv",1.42911336471826,114.138360996127,1.37495293305387,110.400133052171,0.161265246016075,0.188583326054186
"Blood_CD11b_14_Batch_1_14.csv",2.51828313833177,126.384724222294,0.167118212277073,121.400990634777,0.0717717384494412,0.108191677274346
"Blood_CD11b_14_Batch_1_15.csv",3.50094616970352,30.1576522803091,2.06448981078738,27.2696276621824,0.774976276148789,0.796081272647888
"Blood_CD11b_14_Batch_1_16.csv",1.7622752483592,136.742433484,1.96483301228336,134.774272453256,0,0.0104629168652517
"Blood_CD11b_14_Batch_1_17.csv",1.15216773618209,133.729358822965,0.628652915620993,132.032116248847,0.018098896964155,0.0305019417166279
"Blood_CD11b_14_Batch_1_18.csv",-1.87683722594322,130.26094124704,-0.921239910625219,132.190907366228,0.0458743989367482,0.0318482271184377
"Blood_CD11b_14_Batch_1_19.csv",2.81725055529272,134.661053450674,0.553246236301156,133.475117730282,0.0138962573650324,0.0199568303547909
"Blood_CD11b_14_Batch_1_20.csv",1.9064179556699,136.128570225906,-0.230973362580021,132.785991292177,0.000566031093876838,0.0249928023379788
"Blood_CD11b_14_Batch_1_21.csv",1.26062385983052,134.284010288177,0.328389559099578,132.683884202611,0.0140456360750108,0.0257389766449069
"Blood_CD11b_14_Batch_1_31.csv",0.668724007682177,0.61624033009245,0.549295665139166,0.437699279986422,0.990857883208002,0.992162618705678
"Blood_CD11b_14_Batch_1_32.csv",0.659825577399795,0.601452105099025,0.771046423242137,0.600945663829446,0.990965952036347,0.990969652988602
"Blood_CD11b_14_Batch_1_33.csv",-1.12939268523138,-1.32536097196808,-1.79268803953719,-1.90135676623607,1,1
