"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",765020,172893,954465,213226,0.22599801312384,0.223398448345408,0.224698230734624
"R",2659597,618970,3322911,763364,0.2327307483051,0.229727488939668,0.231229118622384
"T",3424617,791863,4277376,976591,0.231226732799609,0.228315443860909,0.229771088330259
