"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",421291,36310,384664,38083,0.0861874571258346,0.0990032859846515,0.0925953715552431
"R",1567554,129991,1421752,136340,0.0829260108423697,0.0958957680383077,0.0894108894403387
"T",1988845,166300,1806416,174424,0.0836163703053782,0.0965580464300582,0.0900872083677182
