"","H2O.A","D2O.A","H2O.B","D2O.B","A","B","AB"
"L",19551536,4218490,18858416,4056897,0.215762587655517,0.215123953146436,0.215443270400977
"R",69360856,15102461,66705512,14523946,0.217737523308536,0.217732321730774,0.217734922519655
"T",88912392,19320951,85563928,18580844,0.217303241599889,0.21715744513272,0.217230343366304
